trait_name,temp,trait,error_pos,error_neg,trait2_name,trait_2,genus,species,trait_def,citation,data_source,notes
pLA,5,0,NA,NA,NA,NA,aedes,vexans,percent reaching the adult stage,Brust_1967_CanEntomol,Table 4,NA
pLA,10,0.04,NA,NA,NA,NA,aedes,vexans,percent reaching the adult stage,Brust_1967_CanEntomol,Table 4,NA
pLA,15.5,0.43,NA,NA,NA,NA,aedes,vexans,percent reaching the adult stage,Brust_1967_CanEntomol,Table 4,NA
pLA,21,0.78,NA,NA,NA,NA,aedes,vexans,percent reaching the adult stage,Brust_1967_CanEntomol,Table 4,NA
pLA,26.5,0.85,NA,NA,NA,NA,aedes,vexans,percent reaching the adult stage,Brust_1967_CanEntomol,Table 4,NA
pLA,32,0.7,NA,NA,NA,NA,aedes,vexans,percent reaching the adult stage,Brust_1967_CanEntomol,Table 4,NA
pLA,5,0,NA,NA,NA,NA,aedes,nigromaculis,NA,Brust_1967_CanEntomol,Table 4,NA
pLA,10,0,NA,NA,NA,NA,aedes,nigromaculis,NA,Brust_1967_CanEntomol,Table 4,NA
pLA,15.5,0.35,NA,NA,NA,NA,aedes,nigromaculis,NA,Brust_1967_CanEntomol,Table 4,NA
pLA,21,0.82,NA,NA,NA,NA,aedes,nigromaculis,NA,Brust_1967_CanEntomol,Table 4,NA
pLA,26.5,0.77,NA,NA,NA,NA,aedes,nigromaculis,NA,Brust_1967_CanEntomol,Table 4,NA
pLA,32,0.72,NA,NA,NA,NA,aedes,nigromaculis,NA,Brust_1967_CanEntomol,Table 4,NA
pLA,12,0,NA,NA,NA,NA,aedes,sollicitans,NA,Shelton_1973_MosqNews,Figure 7,NA
pLA,15,0.5,NA,NA,NA,NA,aedes,sollicitans,NA,Shelton_1973_MosqNews,Figure 7,NA
pLA,20,0.62,NA,NA,NA,NA,aedes,sollicitans,NA,Shelton_1973_MosqNews,Figure 7,NA
pLA,23,0.76,NA,NA,NA,NA,aedes,sollicitans,NA,Shelton_1973_MosqNews,Figure 7,NA
pLA,26,0.75,NA,NA,NA,NA,aedes,sollicitans,NA,Shelton_1973_MosqNews,Figure 7,NA
pLA,29,0.78,NA,NA,NA,NA,aedes,sollicitans,NA,Shelton_1973_MosqNews,Figure 7,NA
pLA,32,0.7,NA,NA,NA,NA,aedes,sollicitans,NA,Shelton_1973_MosqNews,Figure 7,NA
pLA,35,0.5,NA,NA,NA,NA,aedes,sollicitans,NA,Shelton_1973_MosqNews,Figure 7,NA
pLA,12,0,NA,NA,NA,NA,aedes,triseriatus,NA,Shelton_1973_MosqNews,Figure 8,NA
pLA,15,1,NA,NA,NA,NA,aedes,triseriatus,NA,Shelton_1973_MosqNews,Figure 8,NA
pLA,20,0.95,NA,NA,NA,NA,aedes,triseriatus,NA,Shelton_1973_MosqNews,Figure 8,NA
pLA,23,0.97,NA,NA,NA,NA,aedes,triseriatus,NA,Shelton_1973_MosqNews,Figure 8,NA
pLA,26,0.94,NA,NA,NA,NA,aedes,triseriatus,NA,Shelton_1973_MosqNews,Figure 8,NA
pLA,29,0.4,NA,NA,NA,NA,aedes,triseriatus,NA,Shelton_1973_MosqNews,Figure 8,NA
pLA,32,0.2,NA,NA,NA,NA,aedes,triseriatus,NA,Shelton_1973_MosqNews,Figure 8,NA
pLA,35,0,NA,NA,NA,NA,aedes,triseriatus,NA,Shelton_1973_MosqNews,Figure 8,NA
pLA,15,0.276,0.037,0.043,Proportion conspecific larvae,0.75,aedes,triseriatus,NA,TengApperson_2000_JMedEntomol,Figure 5,NA
pLA,15,0.243,0.065,0.07,Proportion conspecific larvae,1,aedes,triseriatus,NA,TengApperson_2000_JMedEntomol,Figure 5,NA
pLA,23,0.331,0.062,0.068,Proportion conspecific larvae,0.75,aedes,triseriatus,NA,TengApperson_2000_JMedEntomol,Figure 5,NA
pLA,23,0.357,0.065,0.065,Proportion conspecific larvae,1,aedes,triseriatus,NA,TengApperson_2000_JMedEntomol,Figure 5,NA
pLA,31,0.184,0.04,0.045,Proportion conspecific larvae,0.75,aedes,triseriatus,NA,TengApperson_2000_JMedEntomol,Figure 5,NA
pLA,31,0.143,0.04,0.038,Proportion conspecific larvae,1,aedes,triseriatus,NA,TengApperson_2000_JMedEntomol,Figure 5,NA
pLA,15,0.48,0.07,0.07,NA,NA,aedes,triseriatus,NA,TengApperson_2000_JMedEntomol,Figure 3,NA
pLA,23,0.62,0.09,0.09,NA,NA,aedes,triseriatus,NA,TengApperson_2000_JMedEntomol,Figure 3,NA
pLA,31,0.2,0.05,0.05,NA,NA,aedes,triseriatus,NA,TengApperson_2000_JMedEntomol,Figure 3,NA
